Group,Ticker,Max Drawdown_MOC (Delayed),Max Drawdown_MOC (No Delay),Total Return_MOC (Delayed),Total Return_MOC (No Delay),Win Rate_MOC (Delayed),Win Rate_MOC (No Delay),Diff_Total_Return,Diff_Win_Rate,Diff_Max_Drawdown
Group A (Final Pool),ABAT,-0.22913616577539142,-0.8166954490159257,158.5746691596679,-0.18082485063701914,0.6537634408602151,0.4492481203007519,158.75549401030491,0.2045153205594632,0.5875592832405343
Group A (Final Pool),WWR,-0.4058698223167398,-0.554051484441032,11.889948162150834,-0.06670382131861508,0.5623409669211196,0.48769574944071586,11.956651983469449,0.0746452174804037,0.14818166212429223
Group A (Final Pool),QBTS,-0.2879172041200817,-0.8680852130376487,9.872398441863615,-0.6883390767727935,0.5287671232876713,0.48548812664907653,10.560737518636408,0.04327899663859475,0.580168008917567
Group A (Final Pool),CIFR,-0.30438826134086117,-0.95139363772419,5.354087302354758,-0.8229454552850786,0.5872576177285319,0.4754521963824289,6.177032757639837,0.111805421346103,0.6470053763833289
Group B (Toxic Pool),AMC,-0.7828898338622453,-0.9879677783592453,4.913502904470448,-0.9695487257032167,0.5521472392638037,0.4215686274509804,5.883051630173664,0.13057861181282332,0.205077944497
Group B (Toxic Pool),KOSS,-0.2502604618779959,-0.7992341298501219,5.833195289211232,0.025477823572138902,0.5138248847926268,0.47198275862068967,5.807717465639093,0.04184212617193711,0.548973667972126
Group A (Final Pool),IREN,-0.4129339448605453,-0.8475008627401297,3.3801360836795356,-0.6737703159063186,0.5778546712802768,0.4533762057877814,4.053906399585854,0.12447846549249542,0.4345669178795844
Group B (Toxic Pool),CLOV,-0.2283670962792979,-0.7705722127977594,2.715812770091799,-0.6136472396601887,0.5569007263922519,0.45351473922902497,3.3294600097519877,0.10338598716322689,0.5422051165184616
Group A (Final Pool),TSLA,-0.2382766248042375,-0.7555250365256484,2.748812760627804,-0.2729804131684772,0.5805626598465473,0.5268542199488491,3.021793173796281,0.053708439897698246,0.5172484117214109
Group B (Toxic Pool),RENT,-0.231321472259358,-0.9557547450990729,1.823020175317836,-0.8932163887522558,0.5521472392638037,0.4358974358974359,2.716236564070092,0.11624980336636781,0.7244332728397149
Group A (Final Pool),ACHR,-0.21489750346142578,-0.7811039453885319,2.0747657748371187,-0.5430664145451757,0.5623342175066313,0.4485294117647059,2.6178321893822942,0.11380480574192536,0.5662064419271061
Group A (Final Pool),IONQ,-0.22878389459023177,-0.8852389176875451,1.6886749146242823,-0.7604682927216558,0.5872576177285319,0.4533333333333333,2.449143207345938,0.1339242843951986,0.6564550230973134
Group A (Final Pool),TMDX,-0.2846452638155683,-0.5576495283851765,2.5434200716721507,0.20422518877362128,0.5597189695550351,0.4919908466819222,2.3391948828985294,0.06772812287311286,0.27300426456960813
Group A (Final Pool),NVTS,-0.38690792724638,-0.8073047566379118,2.0827692674944354,-0.1735311052458578,0.5094339622641509,0.4491017964071856,2.2563003727402933,0.060332165856965325,0.4203968293915318
Group A (Final Pool),EOSE,-0.2547065041918839,-0.875433014177914,3.0935201844806466,0.8401976259460162,0.5581395348837209,0.43795620437956206,2.2533225585346304,0.12018333050415886,0.6207265099860301
Group A (Final Pool),SOFI,-0.30025995576614556,-0.7441883489998704,1.9824339761786702,-0.25005483488569347,0.5376044568245125,0.46467391304347827,2.2324888110643637,0.07293054378103425,0.44392839323372485
Group A (Final Pool),OKLO,-0.1610183618259492,-0.5160342268131688,2.1320381081450615,-0.046525987634793764,0.5669291338582677,0.6144578313253012,2.1785640957798553,-0.047528697467033476,0.3550158649872196
Group A (Final Pool),ONDS,-0.5035120744523791,-0.9624227411425558,1.2288112390781918,-0.8032534569032685,0.5129533678756477,0.45036319612590797,2.03206469598146,0.06259017174973974,0.45891066669017666
Group B (Toxic Pool),OPEN,-0.42073519646530755,-0.8347633345714068,1.5248352635105058,-0.425612017674574,0.5487804878048781,0.4801864801864802,1.9504472811850797,0.0685940076183979,0.4140281381060993
Group A (Final Pool),OPEN,-0.42073519646530755,-0.8347633345714068,1.5248352635105058,-0.425612017674574,0.5487804878048781,0.4801864801864802,1.9504472811850797,0.0685940076183979,0.4140281381060993
Group B (Toxic Pool),PSNY,-0.26341165805430256,-0.9611324553751407,0.7951300868288671,-0.9365492645016275,0.5609756097560976,0.43646408839779005,1.7316793513304947,0.12451152135830756,0.6977207973208381
Group A (Final Pool),SOUN,-0.37351837095538565,-0.7770552690206093,1.3799250342786316,-0.33921119583951764,0.4961832061068702,0.4583333333333333,1.7191362301181492,0.03784987277353691,0.40353689806522364
Group B (Toxic Pool),LCID,-0.4633098888135577,-0.9345976780121235,0.7860883435131474,-0.9025172686163595,0.559322033898305,0.430952380952381,1.688605612129507,0.12836965294592406,0.47128778919856573
Group A (Final Pool),LEU,-0.46207209016059303,-0.6705463862534624,1.9705659967999485,0.3941966731877433,0.5728155339805825,0.5035460992907801,1.5763693236122052,0.0692694346898024,0.20847429609286938
Group A (Final Pool),LTBR,-0.2779170063976224,-0.4792860882196718,8.909367442917414,7.358901504729005,0.6204379562043796,0.5154867256637168,1.5504659381884096,0.1049512305406628,0.20136908182204938
Group B (Toxic Pool),MARA,-0.6061478837490808,-0.9249316942177872,1.163597732404348,-0.28268666767060024,0.5296610169491526,0.47401247401247404,1.4462844000749482,0.055648542936678536,0.3187838104687064
Group B (Toxic Pool),BIRD,-0.36381433221122356,-0.8550127415656052,0.8123899364166169,-0.6231344729609232,0.5964285714285714,0.5181518151815182,1.4355244093775401,0.07827675624705321,0.4911984093543817
Group A (Final Pool),APP,-0.36134353626462434,-0.7529699039461378,0.8168037193617672,-0.30066577351817114,0.5017421602787456,0.5068027210884354,1.1174694928799385,-0.005060560809689751,0.3916263676815135
Group A (Final Pool),FUBO,-0.5811922539093775,-0.8359986480780998,0.4684919132254035,-0.6392936143457764,0.4988179669030733,0.45670995670995673,1.1077855275711799,0.04210801019311655,0.2548063941687223
Group B (Toxic Pool),DNA,-0.27476393136225913,-0.8409373629810204,0.2962841299599379,-0.781124165896028,0.5571428571428572,0.4596774193548387,1.0774082958559659,0.09746543778801847,0.5661734316187612
Group B (Toxic Pool),BBBY,-0.3738454736046765,-0.8976162207621573,0.13300044795180743,-0.8808394959896608,0.5188284518828452,0.4180327868852459,1.0138399439414683,0.10079566499759929,0.5237707471574808
Group A (Final Pool),RXRX,-0.2912030550897065,-0.71013976752008,0.5251047620875979,-0.42185552867758713,0.5565476190476191,0.4927536231884058,0.9469602907651851,0.06379399585921325,0.4189367124303735
Group A (Final Pool),PLTR,-0.304961753472878,-0.7853159096967264,0.3495573952706137,-0.5810548907253218,0.5277777777777778,0.4638888888888889,0.9306122859959355,0.06388888888888888,0.48035415622384836
Group B (Toxic Pool),CVNA,-0.561429428765471,-0.7264802066274203,1.6094380407346822,0.6834259878207356,0.508235294117647,0.4988235294117647,0.9260120529139466,0.009411764705882286,0.16505077786194933
Group A (Final Pool),GRAB,-0.25584628413223925,-0.6585344827179169,1.4203138124495753,0.5317228784225643,0.5619834710743802,0.532258064516129,0.8885909340270111,0.029725406558251177,0.40268819858567767
Group A (Final Pool),SMR,-0.31586589863660897,-0.6615820819985481,1.983053431965307,1.1709767730441825,0.6216216216216216,0.5018050541516246,0.8120766589211246,0.11981656746999703,0.3457161833619391
Group A (Final Pool),BE,-0.41354910674021034,-0.6726933429594065,0.5855875468732601,-0.18563719139575408,0.5331807780320366,0.4841628959276018,0.7712247382690142,0.04901788210443475,0.2591442362191962
Group A (Final Pool),NLR,-0.13220254694598546,-0.2902987495555248,0.8110873979311175,0.04076683862767161,0.6038251366120219,0.5150684931506849,0.7703205593034459,0.08875664346133694,0.15809620260953935
Group A (Final Pool),UBER,-0.4405590905509032,-0.6969030199875667,0.3638056251115702,-0.3635938255812733,0.5240384615384616,0.4748201438848921,0.7273994506928435,0.04921831765356949,0.25634392943666345
Group B (Toxic Pool),BYND,-0.7124305718146954,-0.9730213269051932,-0.31516032013795503,-0.9630358450713262,0.524896265560166,0.444,0.6478755249333712,0.08089626556016599,0.2605907550904978
Group A (Final Pool),CRWD,-0.346433422401691,-0.6365669847534262,0.24631792647948636,-0.330245094675803,0.5320855614973262,0.5394736842105263,0.5765630211552893,-0.007388122713200107,0.2901335623517352
Group A (Final Pool),LUMN,-0.4766699227405436,-0.7362363419279765,0.10906368891191032,-0.4161322226316033,0.5011709601873536,0.4864864864864865,0.5251959115435136,0.014684473700867118,0.2595664191874329
Group A (Final Pool),DOCN,-0.5406856078605954,-0.6156176294173924,0.03405666858988421,-0.4539092984817005,0.4887005649717514,0.5054945054945055,0.4879659670715847,-0.01679394052275407,0.07493202155679701
Group B (Toxic Pool),RIOT,-0.6377214895096942,-0.9090706704320753,0.10888340195175039,-0.37540912719183317,0.5201793721973094,0.4758771929824561,0.48429252914358356,0.04430217921485324,0.27134918092238114
Group A (Final Pool),REMX,-0.22462521148328002,-0.4975369349701649,0.302596365135285,-0.14974267030544774,0.496551724137931,0.47453703703703703,0.45233903544073273,0.022014687100893993,0.27291172348688486
Group A (Final Pool),DUOL,-0.3043530960089508,-0.5426667329537224,0.03609953651067421,-0.3707120648428559,0.5302013422818792,0.5066225165562914,0.4068116013535301,0.023578825725587782,0.2383136369447716
Group A (Final Pool),DDOG,-0.40571496558268383,-0.5547246866882171,0.06727809125457762,-0.3323377906149958,0.5091863517060368,0.5152284263959391,0.3996158818695734,-0.006042074689902366,0.14900972110553323
Group B (Toxic Pool),REAL,-0.5781126161544524,-0.9180087537594078,-0.43947592962794635,-0.827462400794973,0.508557457212714,0.45348837209302323,0.38798647116702667,0.05506908511969072,0.3398961376049554
Group B (Toxic Pool),GME,-0.501767247685135,-0.6709993758610534,0.2707559771192727,-0.07994041747700642,0.4636363636363636,0.49667405764966743,0.3506963945962791,-0.03303769401330381,0.16923212817591837
Group A (Final Pool),OSCR,-0.439570734059562,-0.7765575882003388,-0.12069201657411588,-0.4482438667380013,0.49333333333333335,0.46582278481012657,0.32755185016388544,0.02751054852320678,0.33698685414077684
Group A (Final Pool),BROS,-0.49585879435500796,-0.6153634432118915,-0.0432263110406379,-0.35809352111019854,0.5244299674267101,0.4627831715210356,0.31486721006956064,0.06164679590567451,0.11950464885688356
Group A (Final Pool),PANW,-0.28322532085974583,-0.3753973822458743,0.1017585883330947,-0.21276086896694235,0.5302593659942363,0.5041782729805014,0.31451945730003705,0.026081093013734846,0.09217206138612849
Group B (Toxic Pool),BZFD,-0.7259770664383746,-0.9148138248163195,-0.5483004815005175,-0.8576607894571294,0.47126436781609193,0.4594594594594595,0.30936030795661196,0.011804908356632449,0.1888367583779449
Group B (Toxic Pool),AFRM,-0.5059653580459355,-0.8552536274746199,0.15711832237997547,-0.15206688528412593,0.494475138121547,0.47554347826086957,0.3091852076641014,0.018931659860677408,0.3492882694286844
Group A (Final Pool),AMZN,-0.20974807454316494,-0.3734694647289012,0.7310316647295503,0.4295324585959446,0.579746835443038,0.5265822784810127,0.3014992061336057,0.05316455696202527,0.16372139018573625
Group A (Final Pool),ANET,-0.19441215371420145,-0.44300504115618217,0.3313206873514323,0.04473157183956511,0.5604395604395604,0.5173333333333333,0.28658911551186717,0.043106227106227135,0.24859288744198071
Group B (Toxic Pool),UPST,-0.8446185154859963,-0.943033868063268,-0.6044572473001991,-0.8888451354542289,0.49868073878627966,0.45144356955380577,0.2843878881540298,0.0472371692324739,0.09841535257727174
Group A (Final Pool),UPST,-0.8446185154859963,-0.943033868063268,-0.6044572473001991,-0.8888451354542289,0.49868073878627966,0.45144356955380577,0.2843878881540298,0.0472371692324739,0.09841535257727174
Group A (Final Pool),MU,-0.2820556527527476,-0.4931812995982413,0.5013201536488416,0.21967841942892985,0.555,0.52,0.2816417342199118,0.03500000000000003,0.21112564684549373
Group B (Toxic Pool),PTON,-0.4811064242258019,-0.8363210411574403,-0.04709913656646236,-0.32822536879609254,0.4760820045558087,0.4713656387665198,0.2811262322296302,0.004716365789288857,0.3552146169316384
Group A (Final Pool),NVO,-0.4501420873341446,-0.49452509396545213,0.19382598412985597,-0.08469528880901322,0.5281173594132029,0.5354523227383863,0.2785212729388692,-0.007334963325183352,0.04438300663130751
Group A (Final Pool),HIMS,-0.4089687197299831,-0.563529326842113,0.35379205502011746,0.0880605496702378,0.49604221635883905,0.49489795918367346,0.26573150534987966,0.0011442571751655861,0.15456060711212988
Group A (Final Pool),KTOS,-0.20053959796832538,-0.3707740553998513,0.570310904455235,0.32617870432451457,0.5504087193460491,0.5413333333333333,0.24413220013072046,0.009075386012715736,0.17023445743152593
Group A (Final Pool),SPOT,-0.18798002674702394,-0.4615440398954062,0.6150526499295668,0.37481762765430315,0.5326633165829145,0.5396039603960396,0.2402350222752636,-0.006940643813125091,0.2735640131483823
Group A (Final Pool),SIVR,-0.5119194206796709,-0.46849986801301874,-0.09365659345325528,-0.2522355741205984,0.5361930294906166,0.5291005291005291,0.1585789806673431,0.007092500390087575,-0.04341955266665215
Group A (Final Pool),GLD,-0.10609977155600502,-0.16326239848574878,0.35972068337216956,0.26773306316150514,0.5746478873239437,0.5887323943661972,0.09198762021066442,-0.014084507042253502,0.05716262692974376
Group A (Final Pool),SHOP,-0.34969358363049197,-0.5920523594798013,0.5998283869349883,0.5182011735182599,0.5260545905707196,0.5401459854014599,0.0816272134167284,-0.01409139483074029,0.24235877584930932
Group A (Final Pool),BND,-0.057743624461430026,-0.0722943722492154,0.048954779872531606,0.06720494460603166,0.5365239294710328,0.5421994884910486,-0.01825016473350005,-0.005675559020015819,0.014550747787785367
Group A (Final Pool),NET,-0.5234493905892917,-0.6049160232203968,-0.163164274078329,-0.09992546011420844,0.531328320802005,0.5261845386533666,-0.06323881396412057,0.0051437821486384205,0.0814666326311051
Group A (Final Pool),HOOD,-0.641601246819107,-0.77304549235194,-0.48776132786043,-0.3911112095302861,0.4444444444444444,0.4900662251655629,-0.09665011833014392,-0.0456217807211185,0.13144424553283296
Group A (Final Pool),U,-0.5620135752830254,-0.7050884880684611,-0.3470090435347295,-0.22996990318528188,0.4671916010498688,0.45714285714285713,-0.11703914034944762,0.010048743907011659,0.14307491278543572
Group A (Final Pool),CELH,-0.20515455485164757,-0.5494650192896685,1.0413892146049961,1.159552290657392,0.5710526315789474,0.5076923076923077,-0.11816307605239595,0.0633603238866397,0.34431046443802094
Group A (Final Pool),IBM,-0.19876386998040668,-0.24954425521000415,-0.12122903039012778,-0.0010365803856385858,0.5175202156334232,0.5202156334231806,-0.12019245000448919,-0.0026954177897573484,0.05078038522959746
Group A (Final Pool),GLW,-0.26445240044092766,-0.20271247570158826,0.17450680719523337,0.3303134878317684,0.5289256198347108,0.5303867403314917,-0.15580668063653502,-0.0014611204967809321,-0.0617399247393394
Group A (Final Pool),STX,-0.33151856453824025,-0.4027486133370734,-0.1260463427080395,0.04528726461603605,0.5065616797900262,0.49606299212598426,-0.17133360732407554,0.010498687664041939,0.07123004879883316
Group A (Final Pool),CEG,-0.14501950846089667,-0.3104543995914128,0.6234527165179173,0.8410673410818603,0.5583333333333333,0.5523012552301255,-0.21761462456394298,0.0060320781032078274,0.16543489113051613
Group A (Final Pool),TTD,-0.47441821675967544,-0.5039904639671314,-0.09988015139036455,0.19512607815718663,0.5373493975903615,0.513189448441247,-0.2950062295475512,0.024159949149114457,0.029572247207455993
Group A (Final Pool),V,-0.1945010451946204,-0.23613494460164677,-0.04554977527430404,0.2938958665503679,0.5632183908045977,0.54,-0.33944564182467196,0.023218390804597644,0.04163389940702639
Group A (Final Pool),POWI,-0.32002306855934687,-0.3547638603613929,-0.10481820218602766,0.2457493931386825,0.5244444444444445,0.4866666666666667,-0.35056759532471016,0.0377777777777778,0.034740791802046034
Group B (Toxic Pool),BB,-0.598283116884605,-0.7429819624358185,-0.5569340735409732,-0.1658648451780722,0.5097560975609756,0.46924829157175396,-0.39106922836290103,0.04050780598922166,0.14469884555121348
Group A (Final Pool),ABNB,-0.4081390113994359,-0.27663945453167377,-0.2786494261438873,0.1533331781286298,0.518840579710145,0.49570200573065903,-0.4319826042725171,0.023138573979485932,-0.13149955686776216
Group A (Final Pool),VOO,-0.13696550172943123,-0.14974275462382614,0.16692083791557888,0.6426525253965021,0.5889212827988338,0.5510204081632653,-0.4757316874809232,0.03790087463556857,0.012777252894394908
Group A (Final Pool),MRVL,-0.23472776890182823,-0.3387165006297061,0.8704976660967514,1.4128073994625145,0.5406824146981627,0.5354330708661418,-0.5423097333657632,0.005249343832020914,0.10398873172787787
Group A (Final Pool),MCD,-0.1884639011934231,-0.13821534439501715,0.05427723410330865,0.6119308047335201,0.5721649484536082,0.5492227979274611,-0.5576535706302115,0.02294215052614712,-0.05024855679840595
Group A (Final Pool),UNH,-0.3499964645488472,-0.32858613924890795,-0.2535689459610201,0.3543224306285033,0.5168831168831168,0.561038961038961,-0.6078913765895234,-0.04415584415584417,-0.021410325299939248
Group A (Final Pool),ON,-0.5090884465697304,-0.349989569836518,-0.3750512876266465,0.25571494011571194,0.49869451697127937,0.49740932642487046,-0.6307662277423585,0.0012851905464089097,-0.15909887673321238
Group A (Final Pool),GOOG,-0.14836711126170682,-0.15223759835492875,0.08416591906486004,1.038156092768694,0.5368731563421829,0.5663716814159292,-0.9539901737038339,-0.029498525073746285,0.003870487093221936
Group A (Final Pool),SNOW,-0.3125743822002813,-0.26066740057656185,0.12240825773152131,1.1318687666532883,0.49575070821529743,0.5674931129476584,-1.009460508921767,-0.07174240473236093,-0.05190698162371943
Group A (Final Pool),CCJ,-0.232777436226772,-0.23996029120916076,0.4607813644316525,1.4855704190476313,0.5491606714628298,0.5205811138014528,-1.0247890546159788,0.028579557661376986,0.00718285498238877
Group A (Final Pool),FI,-0.17990394629747009,-0.15828998801929484,-0.015255091507950569,1.0358581074856765,0.5537190082644629,0.5621621621621622,-1.051113198993627,-0.00844315389769934,-0.02161395827817525
Group A (Final Pool),QCOM,-0.2584588155737002,-0.24196855438130171,0.017408154834402056,1.1359994608024309,0.5249343832020997,0.5459317585301837,-1.1185913059680288,-0.02099737532808399,-0.016490261192398492
Group A (Final Pool),MP,-0.36584303248059197,-0.47202838431401806,0.7931751892878498,2.0422539216167266,0.5077319587628866,0.5128205128205128,-1.2490787323288768,-0.0050885540576262045,0.10618535183342609
Group A (Final Pool),MSFT,-0.14023782252180142,-0.1464740361203827,0.5679271285653542,1.8328641162351702,0.5668449197860963,0.5495978552278821,-1.264936987669816,0.01724706455821423,0.006236213598581286
Group A (Final Pool),ADBE,-0.4339581698317929,-0.29624703109949674,-0.29154537987592843,0.9770803602359943,0.5319693094629157,0.5188916876574308,-1.2686257401119228,0.013077621805484885,-0.13771113873229618
Group A (Final Pool),MGK,-0.17652953333259638,-0.1318513175771957,0.05433212967287737,1.5560575509471888,0.5650887573964497,0.5946745562130178,-1.5017254212743114,-0.029585798816568087,-0.04467821575540068
Group A (Final Pool),AMD,-0.26871526414550817,-0.3749733727830917,0.08438528198391526,2.084495660106969,0.523696682464455,0.5106382978723404,-2.000110378123054,0.013058384592114614,0.1062581086375835
Group A (Final Pool),UUUU,-0.22452131080180654,-0.32331771509243473,3.6414570026175994,5.807929982547869,0.6010230179028133,0.529126213592233,-2.16647297993027,0.07189680431058032,0.09879640429062819
Group A (Final Pool),VST,-0.14687484705319537,-0.1833834485444453,0.38645542052013004,2.8104750182279443,0.5195530726256983,0.5462184873949579,-2.4240195977078143,-0.026665414769259654,0.03650860149124993
Group A (Final Pool),ORCL,-0.14702229793913124,-0.14485003118417436,0.24834558643096605,2.6781588700250927,0.5412087912087912,0.5509641873278237,-2.4298132835941266,-0.009755396119032533,-0.002172266754956881
Group A (Final Pool),LRCX,-0.32606316824198855,-0.3171437068611563,-0.029918339167863572,2.4352390567570943,0.5284552845528455,0.546448087431694,-2.4651573959249578,-0.017992802878848524,-0.008919461380832272
Group A (Final Pool),TSM,-0.296525707065924,-0.22864276118695215,0.40281989633503246,3.1114202632573633,0.542997542997543,0.541871921182266,-2.708600366922331,0.0011256218152769781,-0.06788294587897187
Group A (Final Pool),NVDA,-0.2841972338681634,-0.22866323674128727,1.4376038042623076,4.239086163955682,0.6051873198847262,0.5677233429394812,-2.8014823596933747,0.03746397694524495,-0.05553399712687615
Group A (Final Pool),UAMY,-0.5146100238412477,-0.5085968005510472,0.16417792736543424,12.644387204952771,0.49337748344370863,0.5221932114882507,-12.480209277587337,-0.028815728044542077,-0.006013223290200487
